,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
967,AFL,2013,0.54295,bankruptcy imminent
968,AFL,2012,0.42978,bankruptcy imminent
969,AFL,2014,0.55454,bankruptcy imminent
970,AFL,2015,0.55383,bankruptcy imminent
971,COL,2013,3.43355,safe
972,COL,2015,2.91406,grey zone
973,COL,2014,2.83633,grey zone
974,COL,2016,2.46589,grey zone
975,CSCO,2013,3.18372,safe
976,CSCO,2015,2.794,grey zone
977,CSCO,2014,2.84466,grey zone
978,CSCO,2016,2.80731,grey zone
979,MMM,2013,5.9668,safe
980,MMM,2015,5.21159,safe
981,MMM,2014,6.28647,safe
982,K,2013,2.49642,grey zone
983,K,2012,1.96066,grey zone
984,K,2016,2.02438,grey zone
985,K,2015,2.16969,grey zone
986,AMZN,2013,4.25771,safe
987,AMZN,2015,4.37991,safe
988,AMZN,2014,2.5774,grey zone
989,KO,2013,3.57286,safe
990,KO,2012,3.49366,safe
991,KO,2014,3.32313,safe
992,KO,2015,3.41757,safe
993,CF,2013,1.73729,bankruptcy imminent
994,CF,2012,2.05237,grey zone
995,CF,2014,1.8654,grey zone
996,CF,2015,1.2911,bankruptcy imminent
997,YHOO,2013,7.69963,safe
998,YHOO,2012,7.47883,safe
999,YHOO,2014,2.199,grey zone
1000,YHOO,2015,1.1548,bankruptcy imminent
1001,DHI,2013,1.4403,bankruptcy imminent
1002,DHI,2015,2.06259,grey zone
1003,DHI,2014,1.5318,bankruptcy imminent
1004,DHI,2016,2.38279,grey zone
1005,SE,2013,0.83209,bankruptcy imminent
1006,SE,2012,0.74285,bankruptcy imminent
1007,SE,2014,0.85808,bankruptcy imminent
1008,SE,2015,0.51496,bankruptcy imminent
1009,FFIV,2013,7.70619,safe
1010,FFIV,2015,7.16988,safe
1011,FFIV,2014,8.70892,safe
1012,FFIV,2016,6.56482,safe
1013,TMO,2013,2.48961,grey zone
1014,TMO,2012,1.94871,grey zone
1015,TMO,2014,1.98968,grey zone
1016,TMO,2015,2.46642,grey zone
1017,NDAQ,2013,1.22689,bankruptcy imminent
